timestamp,agent_id,method,state,pos_x,pos_y,pos_z,current_node,next_node,route
18:33:25.022,4,planned,searching,29.4,0.0,10.36,56,81,"[80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 0]"
18:33:28.028,4,planned,delivering,-5.41,0.0,31.25,56,81,"[80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 0]"
18:33:29.115,4,planned,dropping,-1.71,0.0,9.87,56,81,"[80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 0]"
18:33:29.693,4,planned,searching,-1.71,0.0,9.87,56,56,"[80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 0]"
18:33:36.749,4,planned,searching,-69.11,0.0,69.46,81,82,"[80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 0]"
18:33:37.630,4,planned,searching,-50.92,0.0,69.97,82,83,"[80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 0]"
18:33:38.613,4,planned,searching,-30.62,0.0,70.0,83,84,"[80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 0]"
18:33:39.563,4,planned,searching,-11.02,0.0,70.0,84,85,"[80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 0]"
18:33:40.547,4,planned,searching,9.28,0.0,70.0,85,86,"[80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 0]"
18:33:41.496,4,planned,searching,28.88,0.0,70.0,86,87,"[80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 0]"
18:33:42.482,4,planned,searching,49.18,0.0,70.0,87,88,"[80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 0]"
